	copy
69664	3
1508541	5
247557	4
342110	1
336214	3
324236	1
623471	1
162430	3
190240	1
190241	6
190711	1
157144	3
4349867	2
167373	4
524371	4
1076818	6
542096	4
4465803	3
295312	3
185972	1
538322	4
290762	3
306035	2
274694	1
191251	5
349802	3
4333086	5
4333087	3
304883	4
540940	5
179861	2
36647	3
44151	4
432444	3
319659	6
311464	4
147100	2
132892	3
300963	3
326865	1
179695	6
178612	4
321078	3
195843	3
4416113	7
365688	4
585480	1
179961	5
196381	1
196382	6
174043	1
174516	4
287863	3
174045	6
194712	1
334185	3
174519	3
556835	5
222842	5
4379449	3
34139	3
184209	6
4330852	4
804526	3
228199	1
851323	5
145856	8
3756485	4
4353913	4
356405	4
188694	1
188690	1
358112	4
100791	1
342947	3
4319785	5
4267520	3
844006	2
178738	4
299858	3
177343	5
177349	1
192015	6
287645	1
292360	4
337765	1
292364	6
2943548	1
589076	4
332803	4
4455388	5
183804	4
357449	6
533589	6
581014	1
309006	5
124309	6
185563	1
188847	4
191387	3
191434	1
325353	3
4411138	3
195548	3
198869	4
198866	5
4362724	4
323001	3
295804	1
566391	4
36892	3
349140	2
199403	1
850841	4
362958	1
1768385	8
362955	4
191651	4
3864823	5
33112	2
176765	3
269532	4
334956	4
4299126	1
1908049	4
4029584	5
271259	6
367215	7
583089	1
182036	6
4434294	6
182033	4
4481195	1
157081	4
4466150	6
327851	5
265871	4
4403113	4
4362942	6
305313	1
158855	4
157888	2
157338	4
4377149	4
179201	6
179200	3
3236435	6
175585	6
175586	1
175237	3
4377147	5
178151	1
192383	1
192385	4
183619	5
215468	4
291794	1
17859	6
530928	1
289984	4
4033995	5
111135	4
361864	6
337511	4
110660	4
361683	3
340223	3
184494	3
205962	5
519545	6
183783	4
303269	4
127309	5
186559	5
725212	4
183071	5
2532909	4
186555	4
184021	1
2331530	5
185090	4
401924	3
907096	2
296052	1
583256	6
352747	3
120281	1
192218	6
298842	3
4372511	6
197929	3
392887	1
259772	6
4323124	5
177754	6
561607	2
177758	1
180257	3
180523	1
180528	5
180529	1
207340	8
1870411	4
189334	6
874462	3
158211	1
158215	6
184570	1
158217	4
2686372	3
2442706	4
4420669	4
4451899	1
154506	6
277047	2
189896	6
324214	4
328659	6
784256	1
324219	4
358493	6
518552	1
320055	4
2280817	4
578754	4
578207	3
299267	6
197540	4
173987	6
508897	3
332353	2
4356080	5
186319	6
174817	3
289373	4
300036	1
362568	1
589622	3
344155	3
195214	4
195215	1
2196986	4
2101287	1
186030	3
349145	4
4409962	5
885437	6
327598	4
307984	6
608244	1
41128	5
4296216	1
301639	2
196632	4
176244	1
163494	1
321096	4
231510	1
175932	1
287808	4
288138	4
189924	6
112771	4
190639	4
4438983	2
365372	4
339417	1
4306036	4
2762219	1
1107057	6
3319304	4
67813	6
312530	1
291644	1
291648	4
178893	1
526682	3
23149	3
815422	3
158045	4
341969	4
318764	6
1065569	4
318760	1
315189	4
294710	3
3138798	5
157286	3
2063400	5
324020	3
114000	2
110059	2
312986	1
320912	1
320915	2
176306	1
230741	1
593043	2
4481861	3
181333	4
253471	3
4341205	4
580920	2
304047	5
1033413	6
544824	7
345301	4
198909	6
196191	4
4405423	4
4405420	3
348304	5
297087	2
188863	3
185542	3
191412	1
298050	5
194177	1
198848	1
210102	2
571642	4
294429	4
586387	5
196991	4
323061	4
193744	1
367456	1
367453	6
194287	3
537661	1
162660	1
4396877	3
176038	4
333279	1
363519	4
333272	4
365965	1
362608	6
4329090	5
180042	1
180881	3
197481	1
309892	3
4232045	5
4232047	3
4368575	5
198331	4
190100	1
317113	1
190108	1
295485	4
3894019	4
4446053	1
2498994	3
4300690	2
178420	6
4397200	4
964220	5
303300	1
302834	4
4318212	4
212686	4
330256	4
288651	3
316642	3
306368	3
4394926	7
183057	6
183054	1
4381092	4
301869	4
357963	1
2051184	2
316539	4
212532	5
858999	6
738351	3
529810	1
109633	6
193240	4
2740953	6
2740950	6
759751	3
279659	1
177518	6
311820	1
12574	3
187196	1
174304	4
145401	1
174300	4
19080	2
16054	2
292285	3
968873	4
318396	3
1943669	4
12619	3
182656	1
336627	2
543824	6
4465561	4
816299	2
4471279	2
158183	4
1112364	8
304211	1
187225	3
228785	6
180509	1
228787	4
3390534	5
723530	2
227697	2
334701	4
189356	6
1097113	7
846141	3
209475	4
292758	4
350626	2
350627	4
4289139	1
573110	1
293666	1
294360	3
293883	5
126	2
422283	4
185937	3
4356065	4
185939	6
4356062	2
3302038	4
3302039	4
290281	1
290284	4
332027	4
186011	3
352918	4
